id,cabinet,department,program,expense_category,fy22_actual,fy23_actual,fy24_appropriation,fy25_budget
230,Economic Opportunity & Inclusion Cabinet,Office Of Tourism,Film & Special Events,Contractual Services,5421.37,147975.14,331502.0,257200.0
231,Economic Opportunity & Inclusion Cabinet,Office Of Tourism,Film & Special Events,Supplies & Materials,1306.71,1869.07,1947.96,1468.39
232,Economic Opportunity & Inclusion Cabinet,Office Of Tourism,Film & Special Events,Current Charges & Obligations,44116.53,31244.98,59954.0,59954.0
233,Economic Opportunity & Inclusion Cabinet,Office Of Tourism,Film & Special Events,Equipment,30273.83,21733.81,24488.81,44488.81
234,Economic Opportunity & Inclusion Cabinet,Office Of Tourism,Film & Special Events,Other Expenses,173135.44,143073.43,225000.0,264200.0
235,Economic Opportunity & Inclusion Cabinet,Office Of Tourism,Tourism,Personnel Services,75461.84,19386.51,169898.32,96492.96
236,Economic Opportunity & Inclusion Cabinet,Office Of Tourism,Tourism,Contractual Services,1504.34,0.0,4500.0,4500.0
237,Economic Opportunity & Inclusion Cabinet,Office Of Tourism,Tourism,Supplies & Materials,484.03,0.0,2500.0,2500.0
238,Economic Opportunity & Inclusion Cabinet,Office Of Tourism,Tourism,Current Charges & Obligations,250.0,50.22,100.0,100.0
239,Economic Opportunity & Inclusion Cabinet,Office Of Tourism,Tourism,Other Expenses,26721.34,17576.67,38750.0,50000.0
240,Worker Empowerment Cabinet,Labor Compliance And Worker Protections,Boston Residents Job Policy,Personnel Services,0.0,1746654.21,918631.58,1006929.36
241,Worker Empowerment Cabinet,Labor Compliance And Worker Protections,Boston Residents Job Policy,Contractual Services,0.0,167227.34,253740.0,133740.0
242,Worker Empowerment Cabinet,Labor Compliance And Worker Protections,Boston Residents Job Policy,Supplies & Materials,0.0,6563.38,5820.0,5820.0
243,Worker Empowerment Cabinet,Labor Compliance And Worker Protections,Boston Residents Job Policy,Current Charges & Obligations,0.0,8250.92,0.0,0.0
244,Worker Empowerment Cabinet,Labor Compliance And Worker Protections,Boston Residents Job Policy,Equipment,0.0,13127.17,3200.0,3200.0
245,Worker Empowerment Cabinet,Labor Compliance And Worker Protections,Worker Empowerment Administration,Personnel Services,0.0,0.0,367180.31,397967.77
246,Worker Empowerment Cabinet,Labor Compliance And Worker Protections,Worker Empowerment Administration,Contractual Services,0.0,0.0,290000.0,410000.0
247,Worker Empowerment Cabinet,Labor Compliance And Worker Protections,Worker Empowerment Administration,Other Expenses,0.0,0.0,1151660.0,0.0
248,Worker Empowerment Cabinet,Youth Employment And Opportunity,Youth Employment And Opportunity Admin,Personnel Services,7988496.84,10246877.7,7827291.48,8077735.31
249,Worker Empowerment Cabinet,Youth Employment And Opportunity,Youth Employment And Opportunity Admin,Contractual Services,2557953.23,6240271.46,9837758.0,14413079.0
250,Worker Empowerment Cabinet,Youth Employment And Opportunity,Youth Employment And Opportunity Admin,Supplies & Materials,58996.77,62541.72,68500.0,95000.0
251,Worker Empowerment Cabinet,Youth Employment And Opportunity,Youth Employment And Opportunity Admin,Current Charges & Obligations,44735.04,49221.16,56496.0,44496.0
252,Worker Empowerment Cabinet,Youth Employment And Opportunity,Youth Employment And Opportunity Admin,Equipment,0.0,4206.49,4500.0,0.0
253,Worker Empowerment Cabinet,Youth Employment And Opportunity,Youth Employment And Opportunity Admin,Other Expenses,562500.0,562250.0,562500.0,0.0
254,Worker Empowerment Cabinet,Office Of Workforce Development,Owd Admin,Contractual Services,0.0,0.0,0.0,366174.0
255,Worker Empowerment Cabinet,Office Of Workforce Development,Owd,Personnel Services,0.0,0.0,0.0,3602535.0
256,Worker Empowerment Cabinet,Office Of Workforce Development,Owd,Contractual Services,0.0,0.0,0.0,3556834.0
257,Education Cabinet,Boston Public Schools,Alternative,Personnel Services,1719010.49,1968080.78,2583371.0,2632970.0
258,Education Cabinet,Boston Public Schools,Alternative,Contractual Services,8948.33,20988.99,26278.0,26278.0
259,Education Cabinet,Boston Public Schools,Alternative,Supplies & Materials,8157.96,20369.75,0.0,14787.0
260,Education Cabinet,Boston Public Schools,Alternative,Equipment,2096.0,0.0,0.0,0.0
261,Education Cabinet,Boston Public Schools,Early Learning Center,Personnel Services,14189560.54,15016634.39,18019808.0,19308466.0
262,Education Cabinet,Boston Public Schools,Early Learning Center,Contractual Services,224894.72,211074.0,387574.0,287833.0
263,Education Cabinet,Boston Public Schools,Early Learning Center,Supplies & Materials,169759.78,92289.42,147541.0,160499.0
264,Education Cabinet,Boston Public Schools,Early Learning Center,Equipment,4547.0,0.0,31993.0,2900.0
265,Education Cabinet,Boston Public Schools,Elementary,Personnel Services,146358168.9,162017832.6,193547579.0,205423049.0
266,Education Cabinet,Boston Public Schools,Elementary,Contractual Services,1700743.79,1169445.29,806682.0,760099.0
267,Education Cabinet,Boston Public Schools,Elementary,Supplies & Materials,1274705.51,945678.18,858308.0,1067547.0
268,Education Cabinet,Boston Public Schools,Elementary,Current Charges & Obligations,0.0,1940.84,11241.0,6500.0
269,Education Cabinet,Boston Public Schools,Elementary,Equipment,279671.9,225803.77,6000.0,7000.0
270,Education Cabinet,Boston Public Schools,Exam,Personnel Services,37892696.11,41069275.12,50150040.0,50593522.0
271,Education Cabinet,Boston Public Schools,Exam,Contractual Services,16988.57,39791.07,300.0,21200.0
272,Education Cabinet,Boston Public Schools,Exam,Supplies & Materials,235414.23,263397.98,188443.0,272737.0
273,Education Cabinet,Boston Public Schools,Exam,Current Charges & Obligations,12450.0,17450.0,0.0,0.0
274,Education Cabinet,Boston Public Schools,Exam,Equipment,7997.95,12841.14,0.0,0.0
275,Education Cabinet,Boston Public Schools,High,Personnel Services,111918421.7,129243275.9,167412954.0,174455717.0
276,Education Cabinet,Boston Public Schools,High,Contractual Services,1242003.32,1543782.95,1389537.0,1291323.0
277,Education Cabinet,Boston Public Schools,High,Supplies & Materials,808055.49,1206329.52,1602591.0,1073660.0
278,Education Cabinet,Boston Public Schools,High,Current Charges & Obligations,4999.55,11473.75,0.0,0.0
279,Education Cabinet,Boston Public Schools,High,Equipment,317313.67,146844.28,172904.0,10655.0
280,Education Cabinet,Boston Public Schools,K-12,Personnel Services,10698065.57,11888412.59,14788294.0,14918820.0
281,Education Cabinet,Boston Public Schools,K-12,Contractual Services,249138.73,0.0,2700.0,22201.0
282,Education Cabinet,Boston Public Schools,K-12,Supplies & Materials,39335.84,33745.51,1611.0,1001.0
283,Education Cabinet,Boston Public Schools,K-12,Current Charges & Obligations,0.0,133032.0,0.0,0.0
284,Education Cabinet,Boston Public Schools,K-12,Equipment,1048.0,0.0,0.0,0.0
285,Education Cabinet,Boston Public Schools,K-8,Personnel Services,184376796.8,190063856.4,229918721.0,241374870.0
286,Education Cabinet,Boston Public Schools,K-8,Contractual Services,1162542.94,386979.82,1027554.0,1231812.0
287,Education Cabinet,Boston Public Schools,K-8,Supplies & Materials,1504622.48,1415155.48,789608.0,858014.0
288,Education Cabinet,Boston Public Schools,K-8,Equipment,260610.09,262997.02,6200.0,50000.0
289,Education Cabinet,Boston Public Schools,Middle,Personnel Services,16534744.54,10210003.15,11231381.0,6513995.0
290,Education Cabinet,Boston Public Schools,Middle,Contractual Services,79314.0,35680.0,49129.0,50000.0
291,Education Cabinet,Boston Public Schools,Middle,Supplies & Materials,65010.87,30935.48,21645.0,26511.0
292,Education Cabinet,Boston Public Schools,Middle,Equipment,2971.8,5600.0,5600.0,0.0
293,Education Cabinet,Boston Public Schools,Middle/High,Personnel Services,30143915.17,34649658.99,43516760.0,45919539.0
294,Education Cabinet,Boston Public Schools,Middle/High,Contractual Services,1611360.68,1727000.59,210473.0,391358.0
295,Education Cabinet,Boston Public Schools,Middle/High,Supplies & Materials,117718.54,77542.91,74604.0,204749.0
296,Education Cabinet,Boston Public Schools,Middle/High,Equipment,335163.89,120122.33,58462.0,50000.0
297,Education Cabinet,Boston Public Schools,"Special Ed, K-12",Personnel Services,18188364.97,18464005.15,23024559.0,21654505.0
298,Education Cabinet,Boston Public Schools,"Special Ed, K-12",Contractual Services,557336.26,505321.37,788178.0,2181685.0
299,Education Cabinet,Boston Public Schools,"Special Ed, K-12",Supplies & Materials,189521.81,174675.19,330481.0,238344.0
300,Education Cabinet,Boston Public Schools,"Special Ed, K-12",Current Charges & Obligations,0.0,10556.0,0.0,13000.0
301,Education Cabinet,Boston Public Schools,"Special Ed, K-12",Equipment,65397.65,67282.69,125062.0,57488.0
302,Education Cabinet,Boston Public Schools,Superintendent,Personnel Services,2270394.73,2802961.13,2772039.0,3338259.0
303,Education Cabinet,Boston Public Schools,Superintendent,Contractual Services,1138326.31,970488.27,372051.0,371400.0
304,Education Cabinet,Boston Public Schools,Superintendent,Supplies & Materials,17868.33,24526.3,24599.0,24499.0
305,Education Cabinet,Boston Public Schools,Superintendent,Current Charges & Obligations,0.0,66.12,0.0,0.0
306,Education Cabinet,Boston Public Schools,Superintendent,Equipment,6771.3,4753.64,6561.0,21161.0
307,Education Cabinet,Boston Public Schools,Superintendent,Other Expenses,0.0,0.0,468079.0,468079.0
308,Education Cabinet,Boston Public Schools,Student Support Services (C),Personnel Services,51067334.63,52136594.87,68902923.0,72924591.0
309,Education Cabinet,Boston Public Schools,Student Support Services (C),Contractual Services,6968913.29,5877313.46,8398047.0,10491372.0
310,Education Cabinet,Boston Public Schools,Student Support Services (C),Supplies & Materials,334636.41,480844.04,561173.0,848089.0
311,Education Cabinet,Boston Public Schools,Student Support Services (C),Current Charges & Obligations,4800.0,7200.0,11566.0,22385.0
312,Education Cabinet,Boston Public Schools,Student Support Services (C),Equipment,119278.24,148187.48,361773.0,249935.0
313,Education Cabinet,Boston Public Schools,Strategy,Personnel Services,36475854.31,42694804.2,32339450.0,31145821.0
314,Education Cabinet,Boston Public Schools,Strategy,Contractual Services,9183476.52,7827628.26,11125901.0,10419223.0
315,Education Cabinet,Boston Public Schools,Strategy,Supplies & Materials,131410.07,391119.56,272693.0,387938.0
316,Education Cabinet,Boston Public Schools,Strategy,Current Charges & Obligations,42361.32,24357.1,21229.0,49892.0
317,Education Cabinet,Boston Public Schools,Strategy,Equipment,100318.47,107656.13,81450.0,79356.0
318,Education Cabinet,Boston Public Schools,Strategy,Other Expenses,646711.9,1745973.38,173663.0,173663.0
319,Education Cabinet,Boston Public Schools,School Committee,Personnel Services,204516.58,225079.01,271445.0,299285.0
320,Education Cabinet,Boston Public Schools,School Committee,Contractual Services,208591.35,130099.35,137152.0,136152.0
321,Education Cabinet,Boston Public Schools,School Committee,Supplies & Materials,3912.71,936.51,4179.0,1416.0
322,Education Cabinet,Boston Public Schools,School Committee,Equipment,1048.0,0.0,1151.0,2000.0
323,Education Cabinet,Boston Public Schools,Bps Finance,Personnel Services,271720945.8,282841332.9,168901505.0,183971623.0
324,Education Cabinet,Boston Public Schools,Bps Finance,Contractual Services,47060954.79,19948020.08,24953142.0,24900836.0
325,Education Cabinet,Boston Public Schools,Bps Finance,Supplies & Materials,1892864.23,3003379.05,1946080.0,1455600.0
326,Education Cabinet,Boston Public Schools,Bps Finance,Current Charges & Obligations,1655603.91,1841045.87,19445954.0,5226738.0
327,Education Cabinet,Boston Public Schools,Bps Finance,Equipment,145651.91,383252.62,517512.0,727959.0
328,Education Cabinet,Boston Public Schools,Chief Of Schools,Personnel Services,2683542.24,3112945.47,3381115.0,6166909.0
329,Education Cabinet,Boston Public Schools,Chief Of Schools,Contractual Services,21974.0,488942.84,26657.0,139900.0
330,Education Cabinet,Boston Public Schools,Chief Of Schools,Supplies & Materials,7681.3,47493.63,8167.0,15275.0
331,Education Cabinet,Boston Public Schools,Chief Of Schools,Equipment,2233.0,1708783.7,3710.0,4916.0
332,Education Cabinet,Boston Public Schools,Asset,Personnel Services,11227025.01,15161040.09,18304310.0,27638698.0
333,Education Cabinet,Boston Public Schools,Asset,Contractual Services,9718732.33,11674138.68,14891372.0,25213259.0
334,Education Cabinet,Boston Public Schools,Asset,Supplies & Materials,1896358.23,1417478.77,2452650.0,1583634.0
335,Education Cabinet,Boston Public Schools,Asset,Current Charges & Obligations,1240.0,5302.85,35230.0,67520.0
336,Education Cabinet,Boston Public Schools,Asset,Equipment,80646.0,1189901.74,143733.0,118456.0
337,Education Cabinet,Boston Public Schools,Bps Operations,Personnel Services,58844436.9,70118360.05,74341874.0,80214192.0
338,Education Cabinet,Boston Public Schools,Bps Operations,Contractual Services,174443907.6,193130380.3,201435911.0,208621408.0
339,Education Cabinet,Boston Public Schools,Bps Operations,Supplies & Materials,1655376.66,8031304.83,3874035.0,7242674.0
340,Education Cabinet,Boston Public Schools,Bps Operations,Current Charges & Obligations,4480086.52,6271647.24,6962740.0,13122115.0
341,Education Cabinet,Boston Public Schools,Bps Operations,Equipment,9866379.78,13986026.7,12678814.0,13376216.0
342,Education Cabinet,Boston Public Schools,Turnaround And Transformation,Personnel Services,225279.07,203970.38,420170.0,383266.0
343,Education Cabinet,Boston Public Schools,Turnaround And Transformation,Contractual Services,17702.31,0.0,458226.0,143798.0
344,Education Cabinet,Boston Public Schools,Turnaround And Transformation,Equipment,0.0,58.0,0.0,0.0
345,Education Cabinet,Boston Public Schools,Capital Planning Unit,Personnel Services,332782.33,714413.17,815145.0,1609804.0
346,Education Cabinet,Boston Public Schools,Capital Planning Unit,Contractual Services,3036535.57,377874.16,51000.0,32000.0
347,Education Cabinet,Boston Public Schools,Capital Planning Unit,Supplies & Materials,72.55,5713.54,0.0,15000.0
348,Education Cabinet,Boston Public Schools,Capital Planning Unit,Current Charges & Obligations,182058.72,1978799.72,204649.0,0.0
349,Education Cabinet,Boston Public Schools,Capital Planning Unit,Equipment,0.0,707064.7,0.0,8500.0
350,"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Personnel Services,2784883.32,2065557.97,2405681.75,3100025.53
351,"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Contractual Services,1945504.64,1053449.18,1135687.2,1338317.0
352,"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Supplies & Materials,34094.81,14571.06,16300.0,16300.0
353,"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Current Charges & Obligations,4668.15,4311.88,30621.0,10500.0
354,"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Equipment,0.0,3568.86,0.0,0.0
355,"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Other Expenses,0.0,3500000.0,0.0,0.0
356,"Environment, Energy & Open Space Cabinet",Environment Department,"Office Of Environment, Energy & Open Space",Personnel Services,0.0,0.0,645566.89,685341.29
357,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Parks & Recreation Administration,Personnel Services,2675185.25,2706862.55,2725208.95,2756980.9
358,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Parks & Recreation Administration,Contractual Services,475569.12,548292.37,436130.0,436130.0
359,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Parks & Recreation Administration,Supplies & Materials,35696.38,71170.25,29050.0,29050.0
360,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Parks & Recreation Administration,Current Charges & Obligations,519428.11,454601.8,435270.93,144365.0
361,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Parks & Recreation Administration,Equipment,52477.81,161730.15,81204.41,43227.92
362,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Parks Operations,Personnel Services,9524414.58,9469211.62,9124198.5,8918953.95
363,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Parks Operations,Contractual Services,4367356.72,5684867.47,5010954.96,5655059.96
364,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Parks Operations,Supplies & Materials,943348.17,1138151.9,935633.33,897086.15
365,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Parks Operations,Current Charges & Obligations,54695.29,3083.25,57597.0,63965.0
366,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Parks Operations,Equipment,950423.29,1844283.31,1597982.0,1861721.02
367,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Parks Operations,Other Expenses,2073559.72,962078.73,1401274.0,1401274.0
368,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Citywide Recreation,Personnel Services,881887.16,916538.48,1146933.0,1015268.89
369,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Citywide Recreation,Contractual Services,124264.98,182788.54,331097.81,153692.0
370,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Citywide Recreation,Supplies & Materials,209878.86,163151.43,57250.0,157250.0
371,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Citywide Recreation,Current Charges & Obligations,130425.08,100806.88,100484.0,100484.0
372,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Citywide Recreation,Equipment,3635.94,0.0,0.0,0.0
373,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Parks Design & Construction,Personnel Services,1308965.19,1382959.92,1889641.98,1703779.92
374,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Parks Design & Construction,Contractual Services,6105419.15,2984279.67,943043.96,1022143.05
375,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Parks Design & Construction,Supplies & Materials,750.0,500.0,750.0,750.0
376,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Parks Design & Construction,Current Charges & Obligations,0.0,83682.0,150907.0,0.0
377,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Animal Care & Control,Personnel Services,1212413.32,1225726.07,1413252.43,1633103.75
378,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Animal Care & Control,Contractual Services,137763.31,217412.52,180445.0,180445.0
379,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Animal Care & Control,Supplies & Materials,91253.93,82974.27,93220.0,93770.78
380,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Animal Care & Control,Current Charges & Obligations,657.48,9633.9,9306.59,9970.0
381,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Animal Care & Control,Equipment,10876.66,7194.1,70355.7,150913.11
382,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Urban Forestry,Personnel Services,0.0,275564.6,994238.71,1177423.43
383,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Urban Forestry,Contractual Services,0.0,418974.23,289449.0,477022.0
384,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Urban Forestry,Equipment,0.0,0.0,198551.92,185757.72
385,"Environment, Energy & Open Space Cabinet",Parks And Recreation,Urban Forestry,Other Expenses,0.0,1423382.0,1635000.0,2115000.0
386,"Environment, Energy & Open Space Cabinet",Cemetery Division,Cemetery,Personnel Services,1817343.46,1769244.78,1990706.36,1963183.81
387,"Environment, Energy & Open Space Cabinet",Cemetery Division,Cemetery,Contractual Services,336724.13,453447.29,475139.89,564661.72
388,"Environment, Energy & Open Space Cabinet",Cemetery Division,Cemetery,Supplies & Materials,72162.09,90804.41,104814.72,105419.83
389,"Environment, Energy & Open Space Cabinet",Cemetery Division,Cemetery,Current Charges & Obligations,39458.8,47706.29,25071.17,12329.0
390,"Environment, Energy & Open Space Cabinet",Cemetery Division,Cemetery,Equipment,128778.74,476266.3,211234.93,256352.74
391,"Environment, Energy & Open Space Cabinet",Cemetery Division,Cemetery,Other Expenses,81551.0,33000.0,142075.0,142075.0
392,"Environment, Energy & Open Space Cabinet",Office Of Historic Preservation,Historic Preservation,Personnel Services,0.0,1036515.94,1310426.02,1477383.14
393,"Environment, Energy & Open Space Cabinet",Office Of Historic Preservation,Historic Preservation,Contractual Services,0.0,154103.51,100416.0,26800.0
394,"Environment, Energy & Open Space Cabinet",Office Of Historic Preservation,Historic Preservation,Supplies & Materials,0.0,33876.69,28800.0,28800.0
395,"Environment, Energy & Open Space Cabinet",Office Of Historic Preservation,Historic Preservation,Current Charges & Obligations,0.0,3540.86,6038.0,6000.0
396,"Environment, Energy & Open Space Cabinet",Office Of Historic Preservation,Historic Preservation,Equipment,0.0,24660.98,0.0,0.0
397,"Environment, Energy & Open Space Cabinet",Office Of Food Justice,Food Justice,Personnel Services,0.0,270908.83,518635.99,562387.33
398,"Environment, Energy & Open Space Cabinet",Office Of Food Justice,Food Justice,Contractual Services,0.0,710437.11,833562.77,818550.0
399,"Environment, Energy & Open Space Cabinet",Office Of Food Justice,Food Justice,Supplies & Materials,0.0,17527.76,16500.0,11500.0
400,"Environment, Energy & Open Space Cabinet",Office Of Food Justice,Food Justice,Current Charges & Obligations,0.0,1616.84,2734.0,3600.0
401,"Environment, Energy & Open Space Cabinet",Office Of Food Justice,Food Justice,Equipment,0.0,2715.0,0.0,0.0
402,Finance Cabinet,Office Of Finance,A&F,Personnel Services,877574.82,1127838.39,1126811.38,1144929.21
403,Finance Cabinet,Office Of Finance,A&F,Contractual Services,1506499.17,444081.13,800410.0,464965.0
404,Finance Cabinet,Office Of Finance,A&F,Supplies & Materials,508.73,95.77,1250.0,1250.0
405,Finance Cabinet,Office Of Finance,A&F,Current Charges & Obligations,2939.04,5492.68,2404.0,2400.0
406,Finance Cabinet,Office Of Finance,A&F,Equipment,2652.0,10488.31,0.0,0.0
407,Finance Cabinet,Assessing Department,Assessing Operations,Personnel Services,2511237.11,2590879.79,2564081.66,2649947.68
408,Finance Cabinet,Assessing Department,Assessing Operations,Contractual Services,74206.45,112388.64,121632.8,214567.0
409,Finance Cabinet,Assessing Department,Assessing Operations,Supplies & Materials,61212.42,79485.08,66661.28,114200.01
410,Finance Cabinet,Assessing Department,Assessing Operations,Current Charges & Obligations,20292.54,35478.3,3018.0,5000.0
411,Finance Cabinet,Assessing Department,Assessing Operations,Equipment,0.0,103457.5,0.0,0.0
412,Finance Cabinet,Assessing Department,Valuation,Personnel Services,3189053.03,3120749.55,3729044.2,3264042.4
413,Finance Cabinet,Assessing Department,Valuation,Contractual Services,164960.47,337406.78,374532.0,374814.0
414,Finance Cabinet,Assessing Department,Valuation,Supplies & Materials,6750.0,7000.0,0.0,8500.0
415,Finance Cabinet,Assessing Department,Valuation,Current Charges & Obligations,156318.33,185816.93,207000.0,192000.0
416,Finance Cabinet,Assessing Department,Valuation,Equipment,118995.0,0.0,0.0,0.0
417,Finance Cabinet,Assessing Department,Executive,Personnel Services,821912.19,791798.71,1225312.04,1252692.13
418,Finance Cabinet,Assessing Department,Executive,Contractual Services,148572.08,92342.91,222297.8,220905.0
419,Finance Cabinet,Assessing Department,Executive,Supplies & Materials,500.0,500.0,0.0,1000.0
420,Finance Cabinet,Assessing Department,Executive,Current Charges & Obligations,6551.28,8407.29,10000.0,10000.0
421,Finance Cabinet,Auditing Department,Auditing Administration,Personnel Services,556282.95,584700.74,655808.34,732184.59
422,Finance Cabinet,Auditing Department,Auditing Administration,Contractual Services,94599.57,107257.49,76392.2,82905.2
423,Finance Cabinet,Auditing Department,Auditing Administration,Supplies & Materials,6735.64,3715.76,2707.0,2707.0
424,Finance Cabinet,Auditing Department,Auditing Administration,Current Charges & Obligations,2720.26,32549.68,961.0,961.0
425,Finance Cabinet,Auditing Department,Auditing Administration,Equipment,0.0,44747.0,0.0,0.0
426,Finance Cabinet,Auditing Department,Accounting,Personnel Services,509180.42,715109.79,842823.39,863078.81
427,Finance Cabinet,Auditing Department,Accounting,Contractual Services,208745.71,141895.38,81769.0,81824.0
428,Finance Cabinet,Auditing Department,Accounting,Supplies & Materials,841.14,1623.5,1757.0,1757.0
429,Finance Cabinet,Auditing Department,Accounting,Current Charges & Obligations,7205.0,26831.6,41973.0,41973.0
430,Finance Cabinet,Auditing Department,Central Payroll,Personnel Services,613985.53,629174.4,789984.46,654466.0
431,Finance Cabinet,Auditing Department,Central Payroll,Contractual Services,1291.6,2795.14,4099.0,126109.0
432,Finance Cabinet,Auditing Department,Central Payroll,Supplies & Materials,564.98,522.3,1400.0,1400.0
433,Finance Cabinet,Auditing Department,Central Payroll,Current Charges & Obligations,150.0,298.0,516.0,516.0
434,Finance Cabinet,Auditing Department,Grants Monitoring,Personnel Services,340109.47,378972.24,343550.59,343433.92
435,Finance Cabinet,Auditing Department,Grants Monitoring,Contractual Services,1674.7,1374.87,3991.0,5320.0
436,Finance Cabinet,Auditing Department,Grants Monitoring,Supplies & Materials,30.08,778.53,957.0,957.0
437,Finance Cabinet,Auditing Department,Grants Monitoring,Current Charges & Obligations,1050.0,75.0,455.0,455.0
438,Finance Cabinet,Auditing Department,Accounts Payable,Personnel Services,693097.55,769548.06,839268.43,923751.61
439,Finance Cabinet,Auditing Department,Accounts Payable,Contractual Services,2986.05,5999.18,10914.2,17568.0
440,Finance Cabinet,Auditing Department,Accounts Payable,Supplies & Materials,1257.33,1292.58,4707.0,4707.0
441,Finance Cabinet,Auditing Department,Accounts Payable,Current Charges & Obligations,2654.79,150.0,199.0,199.0
442,Finance Cabinet,Budget Management,Budget Administration,Personnel Services,802625.98,724437.24,857505.05,880898.96
443,Finance Cabinet,Budget Management,Budget Administration,Contractual Services,589032.24,440109.42,189172.0,200100.0
444,Finance Cabinet,Budget Management,Budget Administration,Supplies & Materials,3642.22,7880.69,5850.0,5850.0
445,Finance Cabinet,Budget Management,Budget Administration,Current Charges & Obligations,76745.22,50438.86,76461.0,76550.0
446,Finance Cabinet,Budget Management,Budget Administration,Equipment,22633.13,4174.26,0.0,0.0
447,Finance Cabinet,Budget Management,Budget & Management,Personnel Services,776336.92,859166.52,1073420.6,969306.17
448,Finance Cabinet,Budget Management,Budget & Management,Contractual Services,1530.33,3533.95,3510.0,6600.0
449,Finance Cabinet,Budget Management,Revenue Monitoring,Personnel Services,87835.44,75755.84,97691.1,109677.02
450,Finance Cabinet,Budget Management,Revenue Monitoring,Contractual Services,223.21,26.79,480000.0,530000.0
451,Finance Cabinet,Budget Management,External Resources,Personnel Services,0.0,0.0,0.0,102774.86
452,Finance Cabinet,Budget Management,External Resources,Contractual Services,0.0,0.0,0.0,2000.0
453,Finance Cabinet,Budget Management,Capital Budgeting,Personnel Services,351975.13,406269.86,447234.96,476912.48
454,Finance Cabinet,Budget Management,Capital Budgeting,Contractual Services,578.56,2150.58,2808.0,2400.0
455,Finance Cabinet,Budget Management,Capital Budgeting,Supplies & Materials,0.0,0.0,500.0,500.0
456,Finance Cabinet,Budget Management,Risk Management,Personnel Services,59311.0,116685.22,126546.42,132836.24
457,Finance Cabinet,Budget Management,Risk Management,Contractual Services,0.0,0.0,67970.0,650.0
458,Finance Cabinet,Budget Management,Risk Management,Current Charges & Obligations,58250.0,60250.0,70885.0,125425.0
459,Finance Cabinet,Office Of Participatory Budgeting,Participatory Budgeting Program,Personnel Services,0.0,240000.0,239999.73,372322.93
460,Finance Cabinet,Office Of Participatory Budgeting,Participatory Budgeting Program,Contractual Services,0.0,5000.0,5000.0,348246.0
461,Finance Cabinet,Office Of Participatory Budgeting,Participatory Budgeting Program,Supplies & Materials,0.0,0.0,0.0,0.0
462,Finance Cabinet,Office Of Participatory Budgeting,Participatory Budgeting Program,Current Charges & Obligations,0.0,0.0,0.0,10000.0
463,Finance Cabinet,Office Of Participatory Budgeting,Participatory Budgeting Program,Equipment,0.0,5000.0,5000.0,1000.0
464,Finance Cabinet,Office Of Participatory Budgeting,Participatory Budgeting Program,Other Expenses,0.0,1750000.0,1750000.0,1400754.0
465,Finance Cabinet,Pensions & Annuities - City,Pensions & Annuities - City,Personnel Services,3330307.039,5572230.1,4380000.0,4005000.0
466,Finance Cabinet,Procurement,Purchasing Administration,Personnel Services,960096.97,994831.71,1103854.34,1514850.15
467,Finance Cabinet,Procurement,Purchasing Administration,Contractual Services,20749.56,21516.88,217497.41,28093.0
468,Finance Cabinet,Procurement,Purchasing Administration,Supplies & Materials,5418.33,4856.07,7500.0,13475.0
469,Finance Cabinet,Procurement,Purchasing Administration,Current Charges & Obligations,15333.81,0.0,4495.0,203400.0
470,Finance Cabinet,Procurement,Purchasing Administration,Equipment,24070.14,24070.14,24070.13,0.0
471,Finance Cabinet,Procurement,Goods Procurement,Personnel Services,614427.96,511687.39,632562.56,617234.2
